ENDDATE,INDICATORCODE,DATAVALUE,
2020-03-13 00:00:00,1320260098,539.4,
2020-03-13 00:00:00,1320270089,1211.25,
2020-03-13 00:00:00,1310200013,1272.0,
2020-03-13 00:00:00,1310300105,455.88,
2020-03-13 00:00:00,1310300106,679.99,
2020-03-13 00:00:00,1085340343,303940.0,
2020-03-13 00:00:00,1330021558,71.5,
2020-03-13 00:00:00,1330010092,12750.0,
2020-03-13 00:00:00,1330011367,946172.0,
2020-03-13 00:00:00,1380045540,770.0,
2020-03-13 00:00:00,1380044328,850.0,
2020-03-13 00:00:00,1010020068,101.18,
2020-03-12 00:00:00,1010020079,128.34,
2020-03-12 00:00:00,1380041303,858.0,
2020-03-12 00:00:00,1010020089,238.9,
2020-03-12 00:00:00,1010020088,152.52,
2020-03-12 00:00:00,1010020082,165.79,
2020-03-12 00:00:00,1010020093,169.13,
2020-03-12 00:00:00,1010020092,126.0,
2020-03-12 00:00:00,1085340045,31.05,
2020-03-12 00:00:00,1085340178,1593.0,
2020-03-12 00:00:00,1080010002,37.23,
2020-03-12 00:00:00,1320260098,540.2,
2020-03-12 00:00:00,1310200013,1261.0,
2020-03-12 00:00:00,1330020574,161.8,
2020-03-12 00:00:00,1380032973,2938.1,
2020-03-12 00:00:00,1330010092,12850.0,
2020-03-12 00:00:00,1380045540,780.0,
2020-03-12 00:00:00,1380044328,850.0,
2020-03-12 00:00:00,1010020068,100.98,
2020-03-11 00:00:00,1010020079,128.34,
2020-03-11 00:00:00,1380041303,858.0,
2020-03-11 00:00:00,1010020089,238.9,
2020-03-11 00:00:00,1010020088,152.79,
2020-03-11 00:00:00,1010020082,166.08,
2020-03-11 00:00:00,1010020093,169.13,
2020-03-11 00:00:00,1010020092,126.35,
2020-03-11 00:00:00,1085340178,1693.0,
2020-03-11 00:00:00,1085340045,34.45,
2020-03-11 00:00:00,1080010002,37.22,
2020-03-11 00:00:00,1310200013,1260.0,
2020-03-11 00:00:00,1330010092,12910.0,
2020-03-11 00:00:00,1320260098,543.2,
2020-03-11 00:00:00,1380045540,790.0,
2020-03-11 00:00:00,1380044328,850.0,
2020-03-11 00:00:00,1010020068,100.72,
2020-03-10 00:00:00,1010020079,128.01,
2020-03-10 00:00:00,1380041303,858.0,
2020-03-10 00:00:00,1010020088,152.81,
2020-03-10 00:00:00,1010020082,166.56,
2020-03-10 00:00:00,1010020093,169.13,
2020-03-10 00:00:00,1010020092,126.37,
2020-03-10 00:00:00,1010020089,238.94,
2020-03-10 00:00:00,1085340178,1689.0,
2020-03-10 00:00:00,1085340045,36.66,
2020-03-10 00:00:00,1080010002,34.36,
2020-03-10 00:00:00,1310200013,1259.0,
2020-03-10 00:00:00,1330010092,12930.0,
2020-03-10 00:00:00,1320260098,544.4,
2020-03-10 00:00:00,1380045540,795.0,
2020-03-10 00:00:00,1380044328,845.0,
2020-03-10 00:00:00,1010020068,100.33,
2020-03-09 00:00:00,1010020079,127.2,
2020-03-09 00:00:00,1380041303,858.0,
2020-03-09 00:00:00,1010020088,152.84,
2020-03-09 00:00:00,1010020082,169.69,
2020-03-09 00:00:00,1010020093,169.12,
2020-03-09 00:00:00,1010020092,126.43,
2020-03-09 00:00:00,1010020089,238.91,
2020-03-09 00:00:00,1085340178,1851.0,
2020-03-09 00:00:00,1085340045,35.33,
2020-03-09 00:00:00,1080010002,45.27,
2020-03-09 00:00:00,1310200013,1239.5,
2020-03-09 00:00:00,1330020574,156.4,
2020-03-09 00:00:00,1330010092,12930.0,
2020-03-09 00:00:00,1320260098,540.6,
2020-03-09 00:00:00,1380045540,814.0,
