regionname,indicatornameen,infopubldate,enddate,indicatorcode,datavalue ,,
中国,Population,2022-10-11 00:00:00,2020-12-31 00:00:00,501201023,1412.12,,
美国,Gross domestic product, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101003,20893.75,
美国,Gross domestic product per capita, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101007,63078.47,
美国,Gross domestic product, constant prices:%,2022-10-11 00:00:00,2020-12-31 00:00:00,500101001,-3.405,
美国,Gross domestic product, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101002,20893.75,
美国,Gross domestic product, deflator,2022-10-11 00:00:00,2020-12-31 00:00:00,500101004,113.647,
美国,Gross domestic product per capita, constant prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101005,55503.62,
美国,Gross domestic product per capita, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101006,63078.47,
美国,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101009,20893.75,,
美国,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101010,63078.47,,
美国,Gross domestic product based on purchasing-power-parity (PPP) share of world total,2022-10-11 00:00:00,2020-12-31 00:00:00,500101011,15.717,,
美国,Implied PPP conversion rate,2022-10-11 00:00:00,2020-12-31 00:00:00,500101012,1.0,,
美国,Total investment:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101013,21.152,,
美国,Gross national savings:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101014,19.158,,
美国,Inflation, average consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101015,258.838,
美国,Inflation, average consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101016,1.249,
美国,Inflation, end of period consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101017,262.202,
美国,Inflation, end of period consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101018,1.549,
美国,Volume of imports of goods and services,2022-10-11 00:00:00,2020-12-31 00:00:00,500101019,-8.933,,
美国,Volume of Imports of goods,2022-10-11 00:00:00,2020-12-31 00:00:00,500101020,-5.639,,
美国,Volume of exports of goods and services,2022-10-11 00:00:00,2020-12-31 00:00:00,500101021,-13.561,,
美国,Volume of exports of goods,2022-10-11 00:00:00,2020-12-31 00:00:00,500101022,-10.162,,
美国,Population,2022-10-11 00:00:00,2020-12-31 00:00:00,500101024,331.234,,
美国,General government revenue,2022-10-11 00:00:00,2020-12-31 00:00:00,500101025,6436.15,,
美国,General government revenue:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101026,30.804,,
美国,General government total expenditure,2022-10-11 00:00:00,2020-12-31 00:00:00,500101027,9464.0,,
美国,General government total expenditure:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101028,45.296,,
美国,General government net lending/borrowing,2022-10-11 00:00:00,2020-12-31 00:00:00,500101029,-3027.84,,
美国,General government net lending/borrowing:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101030,-14.492,,
美国,General government structural balance,2022-10-11 00:00:00,2020-12-31 00:00:00,500101031,-2339.34,,
美国,General government structural balance:Percent of potential GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101032,-10.844,,
俄罗斯联邦,Gross domestic product, constant prices:%,2022-10-11 00:00:00,2020-12-31 00:00:00,500901001,-2.664,
俄罗斯联邦,Gross domestic product, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500901002,107390.3,
俄罗斯联邦,Gross domestic product, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500901003,1484.42,
俄罗斯联邦,Gross domestic product, deflator,2022-10-11 00:00:00,2020-12-31 00:00:00,500901004,120.451,
俄罗斯联邦,Gross domestic product per capita, constant prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500901005,609948.62,
俄罗斯联邦,Gross domestic product per capita, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500901007,10155.34,
俄罗斯联邦,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500901008,4119.28,,
俄罗斯联邦,Gross domestic product based on purchasing-power-parity (PPP) share of world total,2022-10-11 00:00:00,2020-12-31 00:00:00,500901010,3.099,,
俄罗斯联邦,Implied PPP conversion rate,2022-10-11 00:00:00,2020-12-31 00:00:00,500901011,26.07,,
俄罗斯联邦,Total investment:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500901012,23.394,,
俄罗斯联邦,Inflation, average consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500901014,123.318,
俄罗斯联邦,Inflation, average consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500901015,3.382,
俄罗斯联邦,Inflation, end of period consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500901016,121.779,
俄罗斯联邦,Volume of imports of goods and services,2022-10-11 00:00:00,2020-12-31 00:00:00,500901018,-11.804,,
俄罗斯联邦,Volume of Imports of goods,2022-10-11 00:00:00,2020-12-31 00:00:00,500901019,-3.325,,
俄罗斯联邦,Volume of exports of goods and services,2022-10-11 00:00:00,2020-12-31 00:00:00,500901020,-4.084,,
俄罗斯联邦,Unemployment rate,2022-10-11 00:00:00,2020-12-31 00:00:00,500901022,5.783,,
俄罗斯联邦,Population,2022-10-11 00:00:00,2020-12-31 00:00:00,500901023,146.171,,
俄罗斯联邦,General government revenue,2022-10-11 00:00:00,2020-12-31 00:00:00,500901024,37856.71,,
俄罗斯联邦,General government revenue:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500901025,35.252,,
俄罗斯联邦,General government total expenditure,2022-10-11 00:00:00,2020-12-31 00:00:00,500901026,42150.92,,
俄罗斯联邦,General government net lending/borrowing,2022-10-11 00:00:00,2020-12-31 00:00:00,500901028,-4294.21,,
俄罗斯联邦,General government net lending/borrowing:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500901029,-3.999,,
俄罗斯联邦,General government structural balance,2022-10-11 00:00:00,2020-12-31 00:00:00,500901030,-4791.67,,
俄罗斯联邦,General government structural balance:Percent of potential GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500901031,-4.373,,
俄罗斯联邦,General government primary net lending/borrowing,2022-10-11 00:00:00,2020-12-31 00:00:00,500901032,-4032.46,,
俄罗斯联邦,General government primary net lending/borrowing:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500901033,-3.755,,
俄罗斯联邦,General government gross debt,2022-10-11 00:00:00,2020-12-31 00:00:00,500901034,20623.13,,
俄罗斯联邦,General government gross debt:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500901035,19.204,,
俄罗斯联邦,Gross domestic product corresponding to fiscal year, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500901036,107390.3,
俄罗斯联邦,Current account balance,2022-10-11 00:00:00,2020-12-31 00:00:00,500901037,35.373,,
俄罗斯联邦,Current account balance:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500901038,2.383,,
中国,General government revenue,2022-10-11 00:00:00,2020-12-31 00:00:00,501201024,26342.87,,
中国,General government revenue:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,501201025,25.685,,
中国,General government total expenditure,2022-10-11 00:00:00,2020-12-31 00:00:00,501201026,36310.05,,
中国,General government total expenditure:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,501201027,35.403,,
中国,General government net lending/borrowing,2022-10-11 00:00:00,2020-12-31 00:00:00,501201028,-9967.18,,
中国,General government net lending/borrowing:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,501201029,-9.718,,
中国,General government structural balance,2022-10-11 00:00:00,2020-12-31 00:00:00,501201030,-8660.02,,
中国,General government structural balance:Percent of potential GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,501201031,-8.14,,
中国,General government primary net lending/borrowing,2022-10-11 00:00:00,2020-12-31 00:00:00,501201032,-8985.92,,
中国,General government primary net lending/borrowing:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,501201033,-8.761,,
中国,General government gross debt,2022-10-11 00:00:00,2020-12-31 00:00:00,501201034,69806.87,,
中国,General government gross debt:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,501201035,68.063,,
中国,Gross domestic product corresponding to fiscal year, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,501201036,102562.84,
