enddate,infopubldate,companycode,secucode,totalshares,
2010-12-31 00:00:00,2011-03-08 00:00:00,281,000655,595340230,
2010-12-31 00:00:00,2011-03-18 00:00:00,2148,601857,183020977818,
2010-12-31 00:00:00,2011-03-23 00:00:00,23394,601898,13258663400,
2010-12-31 00:00:00,2011-03-30 00:00:00,1850,600997,1234640000,
2010-12-31 00:00:00,2011-04-28 00:00:00,1692,600759,1220117545,
2010-12-31 00:00:00,2011-03-04 00:00:00,267,000629,5726497468,
2010-12-31 00:00:00,2011-07-07 00:00:00,157839,002629,85820000,
2010-12-31 00:00:00,2011-03-28 00:00:00,1188,600188,4918400000,
2010-11-08 00:00:00,2010-11-03 00:00:00,2148,601857,183020977818,
2010-11-05 00:00:00,2010-11-01 00:00:00,1692,600759,1220117545,
2010-07-20 00:00:00,2010-07-14 00:00:00,1692,600759,1220117545,
2010-06-30 00:00:00,2010-08-03 00:00:00,281,000655,595340230,
2010-06-30 00:00:00,2011-01-06 00:00:00,82565,601011,290000000,
2010-06-30 00:00:00,2010-08-23 00:00:00,1188,600188,4918400000,
2010-06-30 00:00:00,2010-08-11 00:00:00,267,000629,5726497468,
2010-06-30 00:00:00,2010-08-14 00:00:00,23394,601898,13258663400,
2010-06-30 00:00:00,2010-08-12 00:00:00,1850,600997,1234640000,
2010-06-30 00:00:00,2010-08-27 00:00:00,2148,601857,183020977818,
2010-06-30 00:00:00,2010-08-28 00:00:00,1692,600759,938551974,
2010-05-19 00:00:00,2010-05-13 00:00:00,1692,600759,938551974,
2010-01-13 00:00:00,2010-01-08 00:00:00,1850,600997,1234640000,
2009-12-31 00:00:00,2010-03-31 00:00:00,1850,600997,1234640000,
2009-12-31 00:00:00,2010-04-26 00:00:00,1188,600188,4918400000,
2009-12-31 00:00:00,2010-04-28 00:00:00,1692,600759,938551974,
2009-12-31 00:00:00,2011-01-06 00:00:00,82565,601011,290000000,
2009-12-31 00:00:00,2010-04-27 00:00:00,267,000629,5726497468,
2009-12-31 00:00:00,2010-03-26 00:00:00,2148,601857,183020977818,
2009-12-31 00:00:00,2010-04-23 00:00:00,23394,601898,13258663400,
2009-12-31 00:00:00,2011-07-07 00:00:00,157839,002629,85820000,
2009-12-31 00:00:00,2010-03-16 00:00:00,281,000655,595340230,
